Name,Continent,Region,IndepYear,Population,LifeExpectancy,GNP
Mayotte,Africa,Eastern Africa,NULL,149000,59.5,0
Namibia,Africa,Southern Africa,1990,1726000,42.5,3101
New Caledonia,Oceania,Melanesia,NULL,214000,72.8,3563
Niger,Africa,Western Africa,1960,10730000,41.3,1706
Norfolk Island,Oceania,Australia and New Zealand,NULL,2000,NULL,0
Nigeria,Africa,Western Africa,1960,111506000,51.6,65707
Nicaragua,North America,Central America,1838,5074000,68.7,1988
Niue,Oceania,Polynesia,NULL,2000,NULL,0
Netherlands,Europe,Western Europe,1581,15864000,78.3,371362
Norway,Europe,Nordic Countries,1905,4478500,78.7,145895
Nepal,Asia,Southern and Central Asia,1769,23930000,57.8,4768
Nauru,Oceania,Micronesia,1968,12000,60.8,197
New Zealand,Oceania,Australia and New Zealand,1907,3862000,77.8,54669
Oman,Asia,Middle East,1951,2542000,71.8,16904
Pakistan,Asia,Southern and Central Asia,1947,156483000,61.1,61289
Panama,North America,Central America,1903,2856000,75.5,9131
Pitcairn,Oceania,Polynesia,NULL,50,NULL,0
Peru,South America,South America,1821,25662000,70,64140
Philippines,Asia,Southeast Asia,1946,75967000,67.5,65107
Palau,Oceania,Micronesia,1994,19000,68.6,105
Papua New Guinea,Oceania,Melanesia,1975,4807000,63.1,4988
Poland,Europe,Eastern Europe,1918,38653600,73.2,151697
Puerto Rico,North America,Caribbean,NULL,3869000,75.6,34100
North Korea,Asia,Eastern Asia,1948,24039000,70.7,5332
Portugal,Europe,Southern Europe,1143,9997600,75.8,105954
Paraguay,South America,South America,1811,5496000,73.7,8444
Palestine,Asia,Middle East,NULL,3101000,71.4,4173
French Polynesia,Oceania,Polynesia,NULL,235000,74.8,818
Qatar,Asia,Middle East,1971,599000,72.4,9472
R̩union,Africa,Eastern Africa,NULL,699000,72.7,8287
Romania,Europe,Eastern Europe,1878,22455500,69.9,38158
Russian Federation,Europe,Eastern Europe,1991,146934000,67.2,276608
Rwanda,Africa,Eastern Africa,1962,7733000,39.3,2036
Saudi Arabia,Asia,Middle East,1932,21607000,67.8,137635
Sudan,Africa,Northern Africa,1956,29490000,56.6,10162
Senegal,Africa,Western Africa,1960,9481000,62.2,4787
Singapore,Asia,Southeast Asia,1965,3567000,80.1,86503
South Georgia and the South Sandwich Islands,Antarctica,Antarctica,NULL,0,NULL,0
Saint Helena,Africa,Western Africa,NULL,6000,76.8,0
Svalbard and Jan Mayen,Europe,Nordic Countries,NULL,3200,NULL,0
Solomon Islands,Oceania,Melanesia,1978,444000,71.3,182
Sierra Leone,Africa,Western Africa,1961,4854000,45.3,746
El Salvador,North America,Central America,1841,6276000,69.7,11863
San Marino,Europe,Southern Europe,885,27000,81.1,510
Somalia,Africa,Eastern Africa,1960,10097000,46.2,935
Saint Pierre and Miquelon,North America,North America,NULL,7000,77.6,0
Sao Tome and Principe,Africa,Central Africa,1975,147000,65.3,6
Suriname,South America,South America,1975,417000,71.4,870
Slovakia,Europe,Eastern Europe,1993,5398700,73.7,20594
Slovenia,Europe,Southern Europe,1991,1987800,74.9,19756
Sweden,Europe,Nordic Countries,836,8861400,79.6,226492
Swaziland,Africa,Southern Africa,1968,1008000,40.4,1206
Seychelles,Africa,Eastern Africa,1976,77000,70.4,536
Syria,Asia,Middle East,1941,16125000,68.5,65984
Turks and Caicos Islands,North America,Caribbean,NULL,17000,73.3,96
Chad,Africa,Central Africa,1960,7651000,50.5,1208
Togo,Africa,Western Africa,1960,4629000,54.7,1449
Thailand,Asia,Southeast Asia,1350,61399000,68.6,116416
Tajikistan,Asia,Southern and Central Asia,1991,6188000,64.1,1990
Tokelau,Oceania,Polynesia,NULL,2000,NULL,0
Turkmenistan,Asia,Southern and Central Asia,1991,4459000,60.9,4397
East Timor,Asia,Southeast Asia,NULL,885000,46,0
Tonga,Oceania,Polynesia,1970,99000,67.9,146
Trinidad and Tobago,North America,Caribbean,1962,1295000,68,6232
Tunisia,Africa,Northern Africa,1956,9586000,73.7,20026
Turkey,Asia,Middle East,1923,66591000,71,210721
Tuvalu,Oceania,Polynesia,1978,12000,66.3,6
Taiwan,Asia,Eastern Asia,1945,22256000,76.4,256254
Tanzania,Africa,Eastern Africa,1961,33517000,52.3,8005
Uganda,Africa,Eastern Africa,1962,21778000,42.9,6313
Ukraine,Europe,Eastern Europe,1991,50456000,66,42168
United States Minor Outlying Islands,Oceania,Micronesia/Caribbean,NULL,0,NULL,0
Uruguay,South America,South America,1828,3337000,75.2,20831
United States,North America,North America,1776,278357000,77.1,8510700
Uzbekistan,Asia,Southern and Central Asia,1991,24318000,63.7,14194
Holy See (Vatican City State),Europe,Southern Europe,1929,1000,NULL,9
Saint Vincent and the Grenadines,North America,Caribbean,1979,114000,72.3,285
Venezuela,South America,South America,1811,24170000,73.1,95023
"Virgin Islands, British",North America,Caribbean,NULL,21000,75.4,612
"Virgin Islands, U.S.",North America,Caribbean,NULL,93000,78.1,0
Vietnam,Asia,Southeast Asia,1945,79832000,69.3,21929
Vanuatu,Oceania,Melanesia,1980,190000,60.6,261
Wallis and Futuna,Oceania,Polynesia,NULL,15000,NULL,0
Samoa,Oceania,Polynesia,1962,180000,69.2,141
Yemen,Asia,Middle East,1918,18112000,59.8,6041
Yugoslavia,Europe,Southern Europe,1918,10640000,72.4,17000
South Africa,Africa,Southern Africa,1910,40377000,51.1,116729
Zambia,Africa,Eastern Africa,1964,9169000,37.2,3377
Zimbabwe,Africa,Eastern Africa,1980,11669000,37.8,5951
